ID;Sex;Age;Height;Weight;NOC;Year;Sport;Medal
49613;F;20;167;56;USA;1972;Speed Skating;Silver
49645;F;33;181;68;GER;2002;Bobsleigh;Silver
49684;M;33;185;78;UKR;2006;Figure Skating;Bronze
49868;M;29;185;92;GER;2006;Bobsleigh;Gold
49870;M;26;181;89;GDR;1984;Bobsleigh;Gold
49870;M;26;181;89;GDR;1984;Bobsleigh;Gold
49870;M;30;181;89;GDR;1988;Bobsleigh;Silver
49870;M;30;181;89;GDR;1988;Bobsleigh;Silver
49870;M;34;181;89;GER;1992;Bobsleigh;Silver
49870;M;36;181;89;GER;1994;Bobsleigh;Bronze
49893;M;22;184;85;TCH;1984;Ice Hockey;Silver
49893;M;30;184;85;TCH;1992;Ice Hockey;Bronze
49909;M;21;185;89;TCH;1968;Ice Hockey;Silver
49909;M;25;185;89;TCH;1972;Ice Hockey;Bronze
49925;M;21;180;80;JPN;1994;Speed Skating;Bronze
49975;M;22;175;79;CAN;1956;Ice Hockey;Bronze
49987;M;24;184;68;AUT;1994;Ski Jumping;Bronze
49987;M;28;184;68;AUT;1998;Ski Jumping;Bronze
49996;M;26;184;82;GDR;1972;Luge;Gold
50161;F;22;174;70;AUT;2006;Alpine Skiing;Silver
50161;F;30;174;70;AUT;2014;Alpine Skiing;Bronze
50161;F;30;174;70;AUT;2014;Alpine Skiing;Silver
50171;M;22;190;123;FRA;1998;Bobsleigh;Bronze
50261;M;37;178;84;USA;2002;Ice Hockey;Silver
50292;F;22;169;63;FIN;2010;Ice Hockey;Bronze
50330;M;49;178;80;CAN;2006;Curling;Gold
50354;M;16;180;82;USA;1972;Ice Hockey;Silver
50359;F;19;170;58;CAN;2014;Freestyle Skiing;Gold
50406;F;23;162;57;JPN;2010;Speed Skating;Silver
50457;M;26;170;70;TCH;1968;Ice Hockey;Silver
50458;M;22;182;86;TCH;1992;Ice Hockey;Bronze
50460;M;26;180;83;TCH;1984;Ice Hockey;Silver
50501;F;31;168;52;UKR;2006;Figure Skating;Bronze
50680;M;31;201;105;SUI;1972;Bobsleigh;Bronze
50680;M;31;201;105;SUI;1972;Bobsleigh;Gold
50694;F;26;178;63;SUI;2002;Cross Country Skiing;Bronze
50695;F;26;172;60;GER;2010;Skeleton;Bronze
50708;M;28;177;89;ITA;1994;Bobsleigh;Bronze
50708;M;32;177;89;ITA;1998;Bobsleigh;Gold
50712;M;23;174;64;AUT;1968;Alpine Skiing;Silver
50717;M;27;173;76;ITA;1992;Luge;Bronze
50717;M;29;173;76;ITA;1994;Luge;Silver
50732;M;23;172;76;ITA;1994;Luge;Gold
50762;M;22;170;75;CAN;1968;Ice Hockey;Bronze
50781;M;32;183;90;CAN;2014;Alpine Skiing;Bronze
50839;F;22;178;76;GER;2006;Luge;Bronze
50839;F;26;178;76;GER;2010;Luge;Gold
50839;F;30;178;76;GER;2014;Luge;Silver
50859;F;29;175;72;CAN;2002;Speed Skating;Bronze
50859;F;33;175;72;CAN;2006;Speed Skating;Gold
50859;F;33;175;72;CAN;2006;Speed Skating;Silver
50859;F;37;175;72;CAN;2010;Speed Skating;Bronze
50914;M;29;175;64;FIN;1948;Nordic Combined;Silver
